Symbol	Name
1093830	RAMDOR SYSTEMS RT05
1094242	PLASTRO IRRIG RTS05
1094929	CARMEL HOLD RT05
1094986	MILOMOR TRADE COMM
1132430	XTL BIOPHARMAC
113718	TAT TECH
1350099	ZEEVI COMPUTER RT05
1628005	KARDAN NV
206189	ORPAK IND 1983
2071483	SHAMIR OPTICAL IND
2080059	PSAGOT FIN RTS 05
2147631	PLASTOPIL HAZOREA
2174639	DELEK REAL ESTATE
2372270	NECHUSTAN RT05
2690089	CINEMA RTS 05
3290095	EUROPEAN SAT RTS 05
3450103	MODIIN ENERGY RT05
3550076	KALANIT CARMON RT05
3940152	RATIO OIL RTS 05
3950102	BSR PROJECTS RTS 05
4730032	DORI ENGR RTS 05
5060181	GIVOT OLAM RTS 05
5060199	GIVOT OLAM RTS 2 05
5470133	OIL FIELDS RTS 05
5470141	OIL FIELDS RTS 2 05
5780051	AFCON IND RTS 1 05
6390173	DISCOUNT INV RTS 05
696793	PRI HAEMEK
718543	TEFRON
7450059	POLYGON RTS 05
7450067	POLYGON RTS 2 06.05
8190035	OGEN RL EST RTS 05
822619	MELISRON
ABTR	ABETRANS B
ADLE	ISRAEL ADLER 1
ADRN	ADIRON
ADTE	ADVANCED TECHNOLOGY
ADUM	ADUMIM CHEMS
ADVT	ADVANTECH HLDGS
AFCN	AFCON CONTROL
AFEK	MICROMEDIC
AFHO	AFRICA ISRAEL HOTEL
AFIL01	AFR-ISR INV ILS
AFIN1	AFCON INDUSTRIES
AFIN5	AFCON INDUSTRIES
AFPR	AFRICA ISRAEL PROP
AFSK	AFSK INDS
AGRI	AGRI INVEST
AIP	AM ISRAELI PAPER
ALBA	ALBAD MASSUOT YITZH
ALBN	ADGAR ALBANI
ALD	A.L.D. ADVANCED
ALDW	ALADDIN KNO INS0.01
ALHE	ALONY HETZ PTYS & I
ALIN	ALLIANCE TIRE
ALON	H ALONI ENTERPRISES
ALUM-M	ALUMAYER
ALVR	ALVARION
AMAN	AMANET MGT & SYS
AMIAD	AMIAD FILTRATION
AMIG	AMIGAR INFORMATION
AMINV-M	INVT CO AMPA -A-
AMLD	A.M.L.D. INVT CO
AMRK	AMIR MKTG INV AGRIC
AMS	A.M.S. ELECTRONICS
ANGL	SALOMON A ANGEL 1
ANLT	ANALYST IMS INVT MG
AOC	A-ONLINE
ARAD	ARAD INV & DEV
ARAN	ARAN RES & DEV 1982
ARD	ARAD
ARDN	ARLADAN NECHASIM 1
ARGM	ARGAMAN IND 8
ARMD	ARYT MEDICAL
ARNT	ARELNET
ARPA	ARPAL ALUMINIUM SYS
ARTN	ART-IN INTERNET
ARYT	ARYT INDUSTRIES
ARZM	ARAZIM EARTH MOV 1
ASBD	ASPEN BUILDNG & DEV
ASHL	ASHLAD
ASHO	ASHOT ASHKELON
ASPJ	ASHTROM PROJECTS
ASPR	ASHTROM PTYS
ASPT	ASPEN PTYS
ASRE	ASPEN RL EST
ASTN	ACKERSTEIN IND
ATIF	ATIFON
ATRM	ASHTROM INDUSTRIES
ATXE	PNEIEL
ATZM	AZMON
AUDC	AUDIOCODES
AURA	AURA INVTS
AVER	AVERBUCH FORMICA CT
AVIA	AVIATION L. INS 1
AVIV	MORDECHAI AVIV TAAS
AVNR	AVNER OIL&GAS INS
AVSO	AVIV SOLUTIONS
AYAL	AYALON HLDGS
AZBK	ATZMAUTH MORTGAGE
AZRM	AZOR INV&DEV CON
AZTC	AZIMUTH TECHNOLOGIE
BAMO	BAUMEL-MOSHE CIVIL
BARA	BARAD CO LANDWORKS
BARK	BARKAN WINE CELLARS
BARN	A.Z. BARANOWITZ
BCEL	BIOCELL
BCH	BRACK HOLDINGS
BDRC	BUILDING RESOURCES
BELM	BELMON
BEZQ	BEZEQ ISRAEL TELE
BGIR	BAGIR
BINR	BINAR BLDG & INVT
BIRI	BIRI BARASHI EARTH
BIRM	BIRMAN WOOD IND
BLOH	BLOCH ROTST SEC INV
BLSD	BOULOS-GAD
BLSQ	BLUE SQUARE STORES
BMDX	BIOMEDIX
BNIN	BINYAN INVT
BOJU	BONJOUR 1986
BOSL	BOS BETTER ONLINE
BOTI	BONEI HATICHON CIV
BPHX	BLUEPHOENIX SOLUT
BRAM	BRAM INDUSTRIES
BRAN	BARAN GROUP
BRIL	BRILL SHOE INDS
BRMG	BRIMAG DIGITAL AGE
BRND	BRAND INDS
BRSL	BAR SOL
BRTE	BAR TAL ELECTR ENC
BSEN	BET SHEMESH HLDGS
BSI	BLUE SQUARE ISRAEL
BSR	BSR EUROPE
BSRP	BSR PROJECTS
BULU	BOULUS GRANITE & MA
BYSD1	BAYSIDE LAND CORP 1
BYSD5	BAYSIDE LAND CORP
CAJE	CAPRICE JEWELLERY
CANY	CANYOKOL PTYS
CAST	CASTRO MODEL
CDEV	COHEN DEVL & IND
CDSS	ISR COLD STORAGE 5
CEME	CEMENTCAL B. KOTICK
CESA	CEASARIA LAND & RES
CFBI	CANFITE BIOFARMA
CGEN	COMPUGEN
CHAM	CHAM FOODS (ISRAEL)
CHAY	CHAYON COMPUTERS
CHIM	ISRAEL CHEMICALS
CIDA	CIDAV PRINTED CIRCU
CINR	CHIM NIR FLIGHT SER
CISY	CI SYS
CLIS	CLAL INSURANCE
CLTC	GMUL VENTURES
CLTR	CLAL TRADING
CLTS	CLAL TOURISM
CMDR	COMPUTER DIRECT TO
CMER	C.MER INDUSTRIES
CMPL	CHEMIPAL
CMSC	COMSEC
CMTC	COMTEC
CNBV	CANIEL ISRAEL CAN
CNIN	CANIEL PACKAG IND
CNMA-L	CINEMA
COMT	COMTRANS ENGR & TRA
COTA	CONTAHAL
CRED	ISRAEL CREDIT LINES
CRGR	CARMEL GROUP
CRHO	CARMEL HOLDINGS
CRMT	CARMIT CANDY IND
CRNT	CERAGON NETWORKS
CROW	CROW ELECTR WARNING
CRSL	CRYSTAL CONSUMER PR
CTPL1	ICP ISR.CITR.PLANT.
CTPL5	ICP ISR
CTRC5	DEVL CO POUNDED BY
CYCL	CYCLONE AVIATION
DAFR	DAFRON
DANE	DANEL (ADIR YEOSHUA
DANH	DAN HOTELS CORP LTD
DANL	DANLEY AM FIN 1
DARE	DAN RENT-A-CAR INS1
DCI	DIRECT CAPITAL INV
DCLA	D.C.L. TECHNOLOGIES
DECI	DECISION SYS ISRAEL
DEDR	DELEK DRILLING
DEGA1	DELTA-GALIL INDUSTR
DEJG	D J G FACTORY OF EL
DEOL	DELEK ENERGI SYSTEM
DGEM	DEGEM SYSTEMS
DIGL	DIGAL INVTS & HLDGS
DIMRI	DIMRI BLDG DEV
DISI	DISCOUNT INVT
DJCE-M	DATA JCE
DLEA	DELEK AUTOMATIVE
DLEK	DELEK ISRAEL FUEL-C
DLEKG	DELEK GROUP
DLIN-L	CINEMA
DLKI	DELEK INTERNATIONAL
