"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","3.13","84913770","1999","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FLWS&selected=FLWS",
"FCTY","1st Century Bancshares, Inc","4","37204000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCTY&selected=FCTY",
"FCCY","1st Constitution Bancorp (NJ)","8","38400000","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCCY&selected=FCCY",
"SRCE","1st Source Corporation","20.11","504218030","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRCE&selected=SRCE",
"FUBC","1st United Bancorp, Inc. (FL)","6.52","194348160","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUBC&selected=FUBC",
"TCHC","21st Century Holding Company","2.93","23281780","1998","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TCHC&selected=TCHC",
"VNET","21Vianet Group, Inc.","14.59","167785000","n/a","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VNET&selected=VNET",
"TDSC","3D Systems Corporation","38.86","910839540","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TDSC&selected=TDSC",
"SSRX","3SBio Inc.","18.92","419475320","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRX&selected=SSRX",
"JOBS","51job, Inc.","55.5","1570150500","2004","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOBS&selected=JOBS",
"EGHT","8x8 Inc","2.87","179194190","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGHT&selected=EGHT",
"SHLM","A. Schulman, Inc.","24.01","756122920","1972","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHLM&selected=SHLM",
"ACMR","A.C. Moore Arts & Crafts, Inc.","2.67","67035690","1997","Consumer Services","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACMR&selected=ACMR",
"AONE","A123 Systems, Inc.","5.63","591949460","2009","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AONE&selected=AONE",
"AAON","AAON, Inc.","31.5","519529500","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAON&selected=AAON",
"ASTM","Aastrom Biosciences, Inc.","2.74","105810580","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASTM&selected=ASTM",
"ABAX","ABAXIS, Inc.","28.2","635007600","1992","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAX&selected=ABAX",
"ABBC","Abington Bancorp, Inc.","12.03","242609010","n/a","Finance","Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABBC&selected=ABBC",
"ABMD","ABIOMED, Inc.","16.59","627981270","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABMD&selected=ABMD",
"AXAS","Abraxas Petroleum Corporation","4.19","383644780","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXAS&selected=AXAS",
"ACTG","Acacia Research Corporation","38.95","1635471550","n/a","Miscellaneous","Multi-Sector Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTG&selected=ACTG",
"ACAD","ACADIA Pharmaceuticals Inc.","2.28","118382160","1985","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACAD&selected=ACAD",
"ACCL","Accelrys, Inc.","7.26","402196740","1995","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACCL&selected=ACCL",
"ANCX","Access National Corporation","7.68","79365120","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANCX&selected=ANCX",
"ARAY","Accuray Incorporated","8.83","546682960","2007","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARAY&selected=ARAY",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.2","51632000","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACRX&selected=ACRX",
"ACET","Aceto Corporation","7.32","194851080","n/a","Consumer Durables","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACET&selected=ACET",
"ACHN","Achillion Pharmaceuticals, Inc.","4.91","286694900","2006","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACHN&selected=ACHN",
"ACIW","ACI Worldwide, Inc.","31.2","1038117600","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACIW&selected=ACIW",
"APKT","Acme Packet, Inc.","74.59","4906753970","2006","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APKT&selected=APKT",
"ACNB","ACNB Corporation","15.6","92476800","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACNB&selected=ACNB",
"ACOR","Acorda Therapeutics, Inc.","27.16","1061412800","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACOR&selected=ACOR",
"ACFN","Acorn Energy, Inc.","3.92","67984560","n/a","Consumer Services","Military/Government/Technical","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACFN&selected=ACFN",
"ACTS","Actions Semiconductor Co., Ltd.","2.31","164666040","2005","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTS&selected=ACTS",
"ACPW","Active Power, Inc.","2.16","172260000","2000","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACPW&selected=ACPW",
"ATVI","Activision Blizzard, Inc","11.32","13383070000","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATVI&selected=ATVI",
"BIRT","Actuate Corporation","5.36","246549280","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BIRT&selected=BIRT",
"ACUR","Acura Pharmaceuticals, Inc.","4.54","202665600","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACUR&selected=ACUR",
"ACXM","Acxiom Corporation","14.38","1155375480","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACXM&selected=ACXM",
"ADES","ADA-ES, Inc.","10.49","79786940","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADES&selected=ADES",
"ADGF","Adams Golf, Inc.","7.41","56567940","n/a","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADGF&selected=ADGF",
